PICKED?,ISIN,COUPON,ISSUE DATE,MATURITY DATE,MONTHS TO MATURITY,2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13,2020-01-14,2020-01-15
,CA135087H565,1.25,11/3/2017,2/1/2020,1,99.96,99.96,99.96,99.96,99.96,99.95,99.95,99.95,99.95,99.95
X,CA135087D929,1.50,10/14/2014,3/1/2020,2,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.85
,CA135087YZ11,3.50,9/8/2009,6/1/2020,5,100.64,100.64,100.65,100.65,100.66,100.68,100.69,100.69,100.7,100.7
X,CA135087E596,0.75,4/13/2015,9/1/2020,8,99.3,99.28,99.27,99.28,99.28,99.28,99.27,99.28,99.28,99.26
,CA135087J629,2.25,11/9/2018,2/1/2021,13,,,,,,,,,,
,CA135087TZ75,10.50,12/15/1990,3/15/2021,14,,,,,,,,,,
X,CA135087F254,0.75,10/19/2015,3/1/2021,14,98.93,98.9,98.9,98.88,98.92,98.92,98.94,98.95,98.93,98.89
,CA135087J884,1.75,2/11/2019,5/1/2021,16,,,,,,,,,,
,CA135087ZJ69,3.25,7/19/2010,6/1/2021,17,,,,,,,,,,
,CA135087UE28,9.75,5/9/1991,6/1/2021,17,,,,,,,,,,
,CA135087K296,1.50,5/6/2019,8/1/2021,19,,,,,,,,,,
X,CA135087F585,0.75,4/11/2016,9/1/2021,20,98.42,98.41,98.38,98.43,98.43,98.46,98.46,98.49,98.45,98.41
,CA135087K452,1.25,8/9/2019,11/1/2021,22,,,,,,,,,,
,CA135087K601,1.50,11/4/2019,2/1/2022,25,,,,,,,,,,
X,CA135087G328,0.50,10/11/2016,3/1/2022,26,97.61,97.58,97.57,97.61,97.6,97.64,97.65,97.66,97.63,97.57
,CA135087UM44,9.25,12/15/1991,6/1/2022,29,117.54,117.51,117.52,117.56,117.63,117.74,117.77,117.82,117.79,117.73
X,CA135087ZU15,2.75,8/2/2011,6/1/2022,29,102.51,102.47,102.46,102.52,102.52,102.58,102.59,102.62,102.59,102.53
X,CA135087H490,1.75,10/6/2017,3/1/2023,38,100.38,100.31,100.27,100.31,100.35,100.44,100.45,100.48,100.42,100.31
X,CA135087A610,1.50,7/30/2012,6/1/2023,41,99.56,99.49,99.44,99.53,99.54,99.62,99.61,99.65,99.59,99.48
,CA135087UT96,8.00,8/17/1992,6/1/2023,41,120.72,120.65,120.63,120.68,120.75,120.77,120.95,120.89,120.91,120.77
X,CA135087J546,2.25,10/5/2018,3/1/2024,50,102.64,102.54,102.46,102.47,102.53,102.68,102.58,102.75,102.65,102.52
,CA135087B451,2.50,7/2/2013,6/1/2024,53,,,,,,,,,,
X,CA135087J967,1.50,4/5/2019,9/1/2024,56,99.1,98.99,99.06,99.03,98.99,99.25,99.11,99.29,98.95,98.72
,CA135087K528,1.25,10/11/2019,3/1/2025,62,,,,,,,,,,
X,CA135087D507,2.25,6/30/2014,6/1/2025,65,103.53,103.36,103.26,103.3,103.33,103.55,103.54,103.65,103.49,103.29
,CA135087VH40,9.00,8/2/1994,6/1/2025,65,,,,,,,,,,
,CA135087E679,1.50,7/21/2015,6/1/2026,77,,,,,,,,,,
,CA135087F825,1.00,8/3/2016,6/1/2027,89,,,,,,,,,,
,CA135087VW17,8.00,5/1/1996,6/1/2027,89,,,,,,,,,,
,CA135087H235,2.00,8/1/2017,6/1/2028,101,,,,,,,,,,
,CA135087WL43,5.75,2/2/1998,6/1/2029,113,,,,,,,,,,
,CA135087J397,2.25,7/27/2018,6/1/2029,113,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,